id,adresat,miejsce_wzmiankowane,osoba_prawdopodobnie_wzmiankowana,osoba_wzmiankowana
201,,"['Abbeville', 'Baltimore', 'Berlin', 'Bonn', 'Bordeaux', 'Champ-de-Mars', 'Champs-Élysées, Avenue des', 'Châteauroux', 'Havre', 'Indre', 'Luwr', 'Madeleine, la', 'Missouri River', 'Montmartre', 'Ogród Tuileryjski', 'Paris', 'Seine', 'Washington (7013962)', 'Wien']",,"['Barcińska, Izabella', 'Barciński, Antoni', 'Beethoven, Ludwig van', 'Bełza, Józef', 'Bouillon, Godefroi de', 'Chatiron, Hippolyte', 'Cherubini, Luigi', 'Chopin, Justyna', 'Ciechomska, Ludwika Magdalena', 'Delaroche, Paul', 'Deschamps, Antony', 'Donizetti, Gaetano', 'Drouet, Juliette', 'Dudevant, Solange', 'Dziewanowski, Dominik', 'Elsner, Józef', 'Ferdinand Philippe, Duke of Orleans', 'Franchomme, Auguste', 'Françoise (pokojowa George Sand)', 'Grzymała, Wojciech', 'Gutmann, Adolf', 'Habeneck, François-Antoine', 'Hoffman, Klementyna', 'Hugo, Adèle', 'Hugo, Adèle (Madame Hugo)', 'Hugo, Charles', 'Hugo, François-Victor', 'Hugo, Léopoldine', 'Hugo, Victor', 'Jan (służący Fryderyka Chopina)', 'Jędrzejewicz, Antoni Żelisław', 'Jędrzejewicz, Fryderyk Bolesław', 'Jędrzejewicz, Henryk', 'Jędrzejewicz, Józef Kalasanty', 'Jędrzejewiczowa, Ludwika', 'Lamartine, Alphonse de', 'Lamartine, Élisa de', 'Lassus, Jean-Baptiste-Antoine', 'Lebas, Louis Hippolyte', 'Lesueur, Jean-François', 'Letronne, Jean-Antoine', 'Liszt, Ferenc', 'Marjolin, Jean Nicolas', 'Marochetti, Baron Carlo', 'Matuszyński, Jan', 'Nowakowski, Józef', 'Obreskow, Natalia (księżna)', 'Orléans, Louis Charles Philippe Raphaël (duc de Nemours)', 'Paër, Ferdinando', 'Pergolesi, Giovanni Battista', 'Prießnitz, Vinzenz', 'Préault, Antoine-Augustin', 'Rozières, Marie de', 'Sand, George', 'Sand, Maurice', 'Saxe-Cobourg-Koháry, Victoire de (duchesse de Nemours)', 'Skarbek, Fryderyk (hrabia)', 'Souzzo, Catherine de (księżna)', 'Spohr, Louis', 'Suzanne (kucharka George Sand)', 'Thiers, Adolphe', 'Viardot, Louis', 'Viardot, Pauline', 'Woyciechowski, Tytus']"
206,"['Léo, Auguste']",,,
209,"['Rozières, Marie de']",['Chenonceaux'],,
213,"['Barcińska, Izabella', 'Jędrzejewicz, Józef Kalasanty']","['Berlin', 'Chenonceaux', 'Cher', 'Dom George Sand (Nohant)', 'Dresden', 'France', 'Gascogne', 'Italia', 'Leipzig', 'Luwr', 'Paris (7008038)', 'Seine', 'Warszawa']","['Dupin, Claude', 'Dupin, Louise Marie Madeleine', 'Leroux, Pierre']","['Albrecht, Thomas', 'Albrecht, Thérèse', 'Balfe, Michael William', 'Barciński, Antoni', 'Bohier, Thomas', 'Calderón de la Barca, Pedro', 'Catherine de Médicis, Queen consort of Henry II', 'Chopin, Justyna', 'Corneille, Pierre', 'Delaroche, Anne Elizabeth Louise', 'Dorval, Marie', 'Dudevant, Casimir', 'Dudevant, Solange', 'Dupin de Francueil, Louis', ""Ennery, Adolphe d'"", 'Franchomme, Auguste', 'Francis I, King of France', 'Gavard, Charles', 'Gavarni, Paul', 'Grandville', 'Gutmann, Adolf', 'Horsford, Laura', 'Jan (służący Fryderyka Chopina)', 'Jędrzejewicz, Fryderyk Bolesław', 'Jędrzejewiczowa, Ludwika', 'Kalergis, Maria', 'La Fontaine, Jean de', 'Liszt, Ferenc', 'Lorraine, Louise de (królowa)', 'Louis XV, King of France', 'Lucas, Hippolyte', 'Lucie (służąca George Sand)', 'Léo, Auguste', 'Mably, Gabriel Bonnot de', 'Massillon, Jean-Baptiste', 'Meyerbeer, Giacomo', 'Montesquieu, Baron de', 'Perthuis, Émilie de (hrabina)', 'Pierre (służący Fryderyka Chopina)', 'Poussin, Nicolas', 'Rafael', 'Rousseau, Jean Jacques', 'Rozières, Marie de', 'Rubens, Peter Paul', 'Sand, George', 'Sand, Maurice', 'Stockhausen, von (baronowa)', 'Stoltz, Rosine', 'Suzanne (kucharka George Sand)', 'Verdi, Giuseppe', 'Vernet, Horace', 'Villeneuve, René Vallet de', 'Voltaire']"
223,"['Rozières, Marie de']","[""9, square d'Orléans""]",,"['Chopin, Justyna', 'Mozart, Wolfgang Amadeusz', 'Sand, Maurice']"
235,"['Franchomme, Auguste']",,,
237,,"[""9, square d'Orléans"", 'Aranjuez', 'Berlin', 'Bordeaux', 'Bourgogne', 'Bruxelles', 'Frankfurt', 'Gascogne', 'Genova', 'Grignon', 'Italia', 'Lisbon', 'London', 'Madrid', 'Napoli (7004474)', 'Neptune', 'Paris', 'Portugal', 'Roma', 'Royal Opera House', 'Vallée Noire', 'Versailles', 'Wisła']","['Dziewanowska, Józefa']","['Albert, Prince of Schleswig-Holstein-Glücksburg', 'Arago, François', 'Barcińska, Izabella', 'Barcińska, Małgorzata', 'Barciński, Walenty', 'Berlioz, Hector', 'Bełza, Józef', 'Borbón, Francisco de Asís de (King, consort of Isabella II)', 'Boulanger, Louis', 'Brault, Augustine', 'Charles III, King of Spain', 'Chopin, Justyna', 'Coletti, Filippo', 'Colonna-Walewski, Aleksander (książę)', 'Columbus, Christopher', 'Czosnowska, Laura (hrabina)', 'Dmuszewski, Ludwik Adam', 'Dudevant, Solange', 'Dumas, Alexandre', 'Dumas, Alexandre (syn)', 'Faber, Joseph', 'Galle, Johann Gottfried', 'Garcia, Joaquina', 'Grisi, Giulia', 'Habeneck, François-Antoine', 'Haydn, Józef', 'Herschel, William', 'Hind, John', 'Isabella II, Queen of Spain', 'Jan (służący Fryderyka Chopina)', 'Joinville, Francisca de (Princess of Brazil)', 'Jędrzejewicz, Antoni Żelisław', 'Jędrzejewicz, Fryderyk Bolesław', 'Jędrzejewicz, Henryk', 'Jędrzejewicz, Józef Kalasanty', 'Jędrzejewiczowa, Ludwika', 'Krasicki, Ignacy', 'Lablache, Luigi', 'Le Verrier, Urbain Jean-Joseph', 'Lind, Jenny', 'Ludwik Filip I (król Francuzów)', 'Lumley, Benjamin', 'Maquet, Auguste', 'Mario, Giovanni', 'María Luisa Fernanda de Borbón', 'Matuszyński, Jan', 'Nowakowski, Józef', 'Orléans, Antoine de', 'Persiani, Fanny', 'Pillet, Léon', 'Pišek, Jan Křtitel', 'Poniatowski, Józef Michał (książę)', 'Préaulx, Fernand de', 'Rachel Félix, Élisabeth', 'Ricci, Isabella di (Księżna)', 'Rossini, Gioacchino', 'Rozières, Marie de', 'Sabran, Elzéar de', 'Salvandy, Narcisse-Achille de (comte)', 'Sand, George', 'Sand, Maurice', 'Schönbein, Christian Friedrich', 'Skarbek, Fryderyk (hrabia)', 'Vaucanson, Jacques de', 'Viardot, Louis', 'Viardot, Pauline', 'Vico, Francesco de', 'Victoria, Queen of Great Britain', 'Walewska, Anna Maria (księżna)', 'Woyciechowski, Tytus']"
241,"['Sand, George']",,,"['Arago, Emmanuel', ""Arpentigny, Casimir Stanislas d'"", 'Aubertin, Charles', 'Delacroix, Eugène', 'Ducroc de Brassac, Marie Thérèse', 'Dudevant, Solange', 'Grzymała, Wojciech', 'Marliani, Charlotte', 'Montaran, Marie Constance Albertine de (baronowa)', 'Pierre', 'Sand, Maurice']"
250,"['Sand, George']",['Hôtel Lambert'],,"['Arago, Emmanuel', 'Bonnechose, Eugénie de', 'Delacroix, Eugène', 'Grzymała, Wojciech', 'Marliani, Charlotte']"
263,"['Grzymała, Wojciech']",,,"['Arago, Emmanuel', 'Delacroix, Eugène', 'Dudevant, Solange', 'Franchomme, Auguste', 'Sand, George', 'Sand, Maurice']"
