id,name
118,Klementyna Hoffman (Tańska) to Fr. Chopin in Paris
113,To Auguste Léo in Paris
115,Letter from Fryderyk Chopin to Auguste Léo
114,To Wojciech Grzymała in Paris
116,Adam Crémieux to Fr. Chopin in Paris
117,To George Sand in Nohant
120,To George Sand in Nohant
122,To Breitkopf & Härtel company in Leipzig
123,To Härtel from Breitkopf & Härtel company in Leipzig
128,To Zofia Rozengart in Paris
127,To Zofia Rozengart in Paris
178,Klementyna Hoffman (Tańska) to Fr. Chopin in Paris
164,To Adolf Cichowski in Paris
165,To Adolf Cichowski in Paris
171,To Wojciech Grzymała in Paris
175,To Adolf Cichowski in Paris
172,To Adolf Cichowski in Paris
173,To Adolf Cichowski in Paris
170,Wojciech Grzymała to Fr. Chopin in Paris
135,Izabela Barcińska to Fr. Chopin in Paris
174,To Adolf Cichowski in Paris
177,Letter from Fryderyk Chopin to Auguste Franchomme 
129,George Sand to Doctor Molin in Paris
131,George Sand to Doctor Molin in Paris
130,George Sand to Auguste Franchomme in Paris
132,George Sand to Justyna Chopin in Warsaw
134,Antoni Barciński to Fr. Chopin in Paris
136,George Sand to Fr. Chopin in Paris
133,Justyna Chopin to George Sand in Paris
140,George Sand to Ludwika Jędrzejewicz in Paris
138,To Marie de Rozières in Paris
137,To Breitkopf & Härtel company in Leipzig
139,To Wojciech Grzymała in Paris
141,To Auguste Franchomme in Paris
143,To Auguste Franchomme in Paris
142,Auguste Franchomme to Fr. Chopin in Nohant
144,To Auguste Franchomme in Paris
145,To Marie de Rozières in Paris
148,George Sand to Ludwika Jędrzejewicz in Paris
146,Karol Lipiński to Fr. Chopin in Paris
147,To Wojciech Grzymała in Paris
149,To Marie de Rozières in Paris
150,To Marie de Rozières in Paris
151,Letter from Fryderyk Chopin to Marie de Rozières
152,Letter from Fryderyk Chopin and George Sand to Ludwika Jędrzejewicz 
153,George Sand to Ludwika Jędrzejewicz in Warsaw
154,To Auguste Franchomme in Paris
155,To George Sand in Nohant
179,Eugène Delacroix to Fr. Chopin in Paris
180,Eugène Delacroix to Fr. Chopin in Paris
156,Letter from Fryderyk Chopin to Marie de Rozières
158,To Ludwika Jędrzejewicz in Warsaw
157,Letter from Fryderyka Chopin to Marie de Rozières 
159,Letter from Felix Mendelssohn-Bartholdy to Fryderyk Chopin
160,Letter from Fryderyk Chopin to Marie de Rozières
161,To Marie de Rozières in Paris
176,To Maurice Schlesinger in Paris
162,To George Sand in Nohant
163,To George Sand in Nohant
166,Bohdan Zaleski to Fr. Chopin in Paris
168,Letter from Fryderyk Chopin to Marie de Rozières
167,Ernest Legouvé to Fr. Chopin in Paris
196,To Antoni Kątski in Paris
192,To Adolf Cichowski in Paris
193,To Adolf Cichowski in Paris
191,To Adolf Cichowski in Paris
185,To Adolf Cichowski in Paris
186,To Adolf Cichowski in Paris
181,To Krystyn Ostrowski in Paris
182,Friedrich Kalkbrenner to Fr. Chopin in Paris
184,Juliusz Słowacki to his mother in Krzemieniec
183,Charles Alkan to Fr. Chopin in Paris
187,Eugène Delacroix to Fr. Chopin in Paris
188,To Zofia Rozengart in Paris
195,George Sand to Ludwika Jędrzejewicz in Paris
189,Copy in an undetermined hand of the letter and envelope from George Sand to Stefan Witwicki
190,Letter from Fryderyk Chopin to Stefan Witwicki
194,To an unknown recipient in Paris
199,George Sand to Ludwika Jędrzejewicz in Warsaw
197,To Auguste Léo in Paris
198,To Wojciech Grzymała in Paris
201,Letter from Fryderyk Chopin to family
200,George Sand to Ludwika Jędrzejewicz in Warsaw
202,To Marie de Rozières in Paris
203,To Mr. and Mrs. Jędrzejewicz in Warsaw
609,George Sand to Fr. Chopin in Paris
204,To Marie de Rozières in Paris
212,To Wojciech Grzymała in Paris
210,To Adolf Cichowski in Paris
214,Justyna Chopin to Fr. Chopin in Paris
205,To Felix Mendelssohn-Bartholdy in Berlin
206,Letter from Fryderyk Chopin to Auguste Léo 
207,George Sand to Ludwika Jędrzejewicz in Warsaw
208,To Wojciech Grzymała in Paris
209,Letter from Fryderyk Chopin to Marie de Rozières
213,Letter from Fryderyk Chopin to family
211,Friedrich Kalkbrenner to Fr. Chopin in Paris
215,To doctor Molin in Paris
218,To an unknown recipient in Paris
243,Félicité de Lamennais to Fr. Chopin
246,To an unknown recipient in Paris
247,Miss Mars to Fr. Chopin in Paris
219,George Sand to Ludwika Jędrzejewicz in Warsaw
217,Bohdan Zaleski to Fr. Chopin in Paris
221,George Sand to Maurice Dudevant
222,Ferenc Liszt to Fr. Chopin in Paris
223,Letter from Fryderyk Chopin to Marie de Rozières
220,George Sand to Ludwika Jędrzejewicz in Warsaw
224,To Auguste Franchomme in Paris
225,Eugène Delacroix to George Sand in Nohant
226,Eugène Delacroix to Fr. Villot in Champrosay
227,To Wojciech Grzymała in Paris
228,To Auguste Franchomme in Paris
229,To Auguste Léo in Paris
232,To Auguste Léo in Paris
233,Eugène Delacroix to George Sand in Nohant
234,To Auguste Franchomme in Paris
235,Letter from Fryderyk Chopin to Auguste Franchomme 
236,To Vera Rubio in Milan
231,To Marie de Rozières in Paris
238,George Sand to Ludwika Jędrzejewicz in Warsaw
237,Letter from Fryderyk Chopin to family
230,George Sand to Ludwika Jędrzejewicz in Warsaw
239,To Auguste Franchomme in Paris
240,To Breitkopf & Härtel company in Leipzig
241,Letter from Fryderyk Chopin to George Sand 
242,Adam Czartoryski and his wife to Fr. Chopin in Paris
244,To George Sand in Nohant
245,To George Sand in Nohant
252,To publisher Brandus in Paris
248,Félicité de Lamennais to Jane Stirling in Paris
216,To doctor Molin in Paris
